FX-02-196			
Alpha	CL	CD	CM
352.5	-0.3305	0.0144	-0.0951
352.75	-0.309	0.01388	-0.0947
353	-0.2854	0.01343	-0.0946
353.25	-0.2609	0.01301	-0.0946
353.5	-0.2362	0.0126	-0.0946
353.75	-0.2107	0.01229	-0.0946
354	-0.184	0.01197	-0.0948
354.25	-0.157	0.01171	-0.095
354.5	-0.1299	0.0115	-0.0952
354.75	-0.1019	0.01131	-0.0955
355	-0.0736	0.01113	-0.0959
355.25	-0.0456	0.01101	-0.0961
355.5	-0.0174	0.0109	-0.0964
355.75	0.0106	0.01083	-0.0967
356	0.039	0.01075	-0.097
356.25	0.0676	0.01067	-0.0973
356.5	0.0958	0.01063	-0.0976
356.75	0.1246	0.01056	-0.098
357	0.1534	0.0105	-0.0983
357.25	0.1792	0.01067	-0.0983
357.5	0.1954	0.01163	-0.0967
357.75	0.2175	0.01211	-0.0961
358	0.2423	0.01239	-0.0958
358.25	0.2696	0.01247	-0.0959
358.5	0.2955	0.01265	-0.0959
358.75	0.3228	0.01272	-0.096
359	0.3505	0.01277	-0.0962
359.25	0.3766	0.01293	-0.0961
359.5	0.4037	0.01301	-0.0962
359.75	0.4311	0.01306	-0.0964
360	0.4584	0.01312	-0.0965
