FX-60-126			
Alpha	CL	CD	CM
0	0.5101	0.00653	-0.1163
0.25	0.5383	0.00661	-0.1163
0.5	0.5665	0.0067	-0.1163
0.75	0.5947	0.00679	-0.1162
1	0.6228	0.00688	-0.1162
1.25	0.6508	0.00699	-0.1161
1.5	0.6789	0.00709	-0.1161
1.75	0.707	0.00719	-0.1161
2	0.735	0.00729	-0.116
2.25	0.7628	0.00741	-0.1159
2.5	0.7906	0.00753	-0.1159
2.75	0.8184	0.00766	-0.1158
3	0.8459	0.0078	-0.1157
3.25	0.8732	0.00797	-0.1156
3.5	0.9004	0.00814	-0.1154
3.75	0.9275	0.00832	-0.1153
4	0.9543	0.00853	-0.1151
4.25	0.981	0.00875	-0.1149
4.5	1.0076	0.00897	-0.1147
4.75	1.0339	0.00921	-0.1144
5	1.0602	0.00945	-0.1142
5.25	1.0864	0.00969	-0.1139
5.75	1.137	0.01033	-0.1132
6	1.1611	0.01075	-0.1126
6.25	1.1851	0.01115	-0.1121
6.5	1.2095	0.01145	-0.1116
7	1.2512	0.01183	-0.1089
7.25	1.2764	0.01213	-0.1085
7.75	1.3248	0.0129	-0.1075
8	1.3485	0.01331	-0.1069
8.25	1.3715	0.01375	-0.1062
8.5	1.3956	0.01407	-0.1056
8.75	1.4187	0.01447	-0.1049
9	1.4406	0.01493	-0.1041
9.25	1.4617	0.01545	-0.1031
9.5	1.4824	0.01596	-0.1021
9.75	1.502	0.01652	-0.1009
10	1.5229	0.01694	-0.0999
10.25	1.5437	0.01733	-0.0989
10.5	1.5619	0.01787	-0.0975
10.75	1.5756	0.01851	-0.0954
11	1.5923	0.01893	-0.0937
11.25	1.6064	0.0195	-0.0917
11.5	1.6181	0.02022	-0.0895
11.75	1.6313	0.02089	-0.0875
12	1.6438	0.02161	-0.0856
12.25	1.6546	0.02248	-0.0836
12.5	1.6639	0.02348	-0.0815
12.75	1.6754	0.02438	-0.0798
13	1.6874	0.02528	-0.0783
13.25	1.6977	0.02632	-0.0767
13.5	1.7064	0.02754	-0.075
13.75	1.7128	0.02899	-0.0734
14	1.7218	0.03028	-0.072
14.25	1.7308	0.03162	-0.0708
14.5	1.7348	0.03346	-0.0695
14.75	1.7396	0.03529	-0.0683
15	1.7329	0.03835	-0.067
15.25	1.7247	0.04175	-0.0659
15.5	1.7202	0.04495	-0.0653
15.75	1.7167	0.04819	-0.065
16	1.7115	0.05183	-0.065
16.25	1.7075	0.05549	-0.0652
16.5	1.7038	0.05926	-0.0658
16.75	1.6996	0.06326	-0.0665
