FX-60-126			
Alpha	CL	CD	CM
17	1.6935	0.0677	-0.0676
17.25	1.6862	0.07244	-0.069
17.5	1.6769	0.07766	-0.0706
17.75	1.6665	0.08322	-0.0726
18	1.6548	0.08916	-0.075
18.25	1.6417	0.0955	-0.0776
18.5	1.6274	0.10224	-0.0806
18.75	1.6116	0.10942	-0.084
19	1.5957	0.11675	-0.0877
19.25	1.5788	0.12442	-0.0917
20	1.2	0.15	-0.095
25	0.75	0.4	-0.13
30	0.84	0.59	-0.115
35	0.98	0.75	-0.1
40	1.02	0.95	-0.08
45	1.03	1.1	-0.065
50	1.02	1.26	-0.05
55	0.95	1.4	-0.035
60	0.86	1.5	-0.02
65	0.77	1.6	-0.01
70	0.63	1.68	+0.005
75	0.48	1.75	+0.015
80	0.35	1.78	+0.025
85	0.21	1.82	+0.035
90	0.1	1.84	+0.040
95	-0.04	1.8	+0.045
100	-0.17	1.75	+0.060
105	-0.3	1.69	+0.075
110	-0.42	1.65	+0.090
115	-0.56	1.56	+0.105
120	-0.68	1.49	+0.120
125	-0.78	1.38	+0.135
130	-0.87	1.25	+0.150
135	-0.97	1.1	+0.165
140	-0.98	0.95	+0.180
145	-0.9	0.76	+0.190
150	-0.76	0.59	+0.175
155	-0.65	0.42	+0.160
160	-0.63	0.31	+0.145
165	-0.85	0.22	+0.130
170	-0.91	0.11	+0.125
175	-0.66	0.03	+0.120
180	0	0.01	+0.1163
185	0.66	0.03	+0.110
190	0.91	0.11	+0.095
195	0.85	0.22	+0.050
200	0.63	0.31	-0.015
205	0.65	0.42	-0.065
210	0.76	0.59	-0.095
215	0.9	0.76	-0.12
220	0.98	0.95	-0.14
225	0.97	1.1	-0.155
230	0.87	1.25	-0.17
235	0.78	1.38	-0.185
240	0.68	1.49	-0.195
245	0.56	1.56	-0.165
250	0.42	1.65	-0.135
255	0.3	1.69	-0.105
260	0.17	1.75	-0.085
265	0.04	1.8	-0.065
270	-0.1	1.84	-0.04
275	-0.21	1.82	-0.025
280	-0.35	1.78	-0.02
285	-0.48	1.75	-0.03
290	-0.63	1.68	-0.045
295	-0.77	1.6	-0.065
300	-0.86	1.5	-0.085
305	-0.95	1.4	-0.1
310	-1.02	1.26	-0.115
315	-1.03	1.1	-0.13
320	-1.02	0.95	-0.145
325	-0.98	0.75	-0.16
330	-0.84	0.59	-0.175
335	-0.6	0.4	-0.16
340	-0.3	0.19	-0.145
345	-0.4	0.08	-0.13
347	-0.55	0.07	-0.0474
347.25	-0.55	0.06	-0.044
347.5	-0.6582	0.05945	-0.0663
347.75	-0.6726	0.05383	-0.0703
348	-0.6926	0.04789	-0.0743
348.25	-0.7037	0.04368	-0.0769
348.5	-0.7192	0.03981	-0.0784
348.75	-0.7446	0.03729	-0.0762
349	-0.7262	0.0316	-0.088
349.25	-0.7	0.02776	-0.0959
349.5	-0.6713	0.02506	-0.1007
349.75	-0.64	0.02274	-0.1048
350	-0.612	0.02097	-0.1071
350.25	-0.5811	0.01961	-0.1093
350.5	-0.5494	0.01847	-0.1114
350.75	-0.5234	0.01759	-0.1119
351	-0.4969	0.01649	-0.1127
351.25	-0.4728	0.01559	-0.1126
351.5	-0.4477	0.01481	-0.1127
351.75	-0.4227	0.01402	-0.1127
352	-0.3983	0.01281	-0.113
352.25	-0.3723	0.01206	-0.1131
352.5	-0.3452	0.01151	-0.1132
352.75	-0.3177	0.01104	-0.1134
353	-0.29	0.01065	-0.1135
353.25	-0.2619	0.01028	-0.1136
353.5	-0.2338	0.00998	-0.1137
353.75	-0.2055	0.00957	-0.1138
354	-0.1771	0.00925	-0.1139
354.25	-0.1486	0.00901	-0.114
354.5	-0.1199	0.00849	-0.1144
354.75	-0.0913	0.00817	-0.1146
355	-0.0623	0.0079	-0.1149
355.25	-0.0336	0.00766	-0.115
355.5	-0.0047	0.00742	-0.1153
355.75	0.0241	0.00708	-0.1156
356	0.0532	0.00679	-0.1159
356.25	0.0821	0.00656	-0.1162
356.5	0.1112	0.00637	-0.1164
356.75	0.1399	0.00625	-0.1165
357	0.169	0.00615	-0.1166
357.25	0.1978	0.0061	-0.1167
357.5	0.2264	0.00608	-0.1167
357.75	0.2549	0.00609	-0.1167
358	0.2833	0.0061	-0.1166
358.25	0.3118	0.00612	-0.1166
358.5	0.3402	0.00615	-0.1166
358.75	0.3686	0.0062	-0.1165
359	0.397	0.00625	-0.1165
359.25	0.4253	0.0063	-0.1165
359.75	0.4819	0.00644	-0.1164
360	0.5101	0.00653	-0.1163
